toolId;CPPCHECK;CT
AATI;1;-
ABS_DA;-;1
ABS_DC;-;1
ABS_DCC;-;1
ABS_DD;-;1
ABS_DFF;-;1
ABS_DFS;-;1
ABS_DS;-;1
ABS_DUC;-;1
ABS_FSD;-;1
ABS_NID;-;1
ABS_NN;-;1
ABS_RSC;-;1
ABS_SCA;-;1
ABS_SFS;-;1
ABS_SFSC;-;1
ABS_TC;-;1
ABS_TS;-;1
ABS_UDC;-;1
ABTF;1;-
ABTP;1;-
AF;1;-
AIA;1;-
AIC;1;-
AID;1;-
AIE;1;-
AIOOB;1;-
AIOOBC;1;-
AITA;1;-
AITC;1;-
ALT_KNR;-;1
ALT_SPA;-;1
ALT_SWIB;-;1
AM;1;-
AND_CA;-;1
AND_CA2;-;1
AND_CC;-;1
AND_CD;-;1
AND_CEC;-;1
AND_CEC2;-;1
AND_CF;-;1
AND_CII;-;1
AND_CII2;-;1
AND_CITFR;-;1
AND_CMC;-;1
AND_CO;-;1
AND_CP;-;1
AND_CP2;-;1
AND_CS;-;1
AOOVP;1;-
AOSBLU;1;-
AV;1;-
AWSE;1;-
BAOOB;1;-
BBC;1;-
BFE;1;-
BOB;1;-
BST_UTS;-;1
BUG_AC;-;1
BUG_ASE;-;1
BUG_BC;-;1
BUG_BPIC;-;1
BUG_BSTKT;-;1
BUG_CCI;-;1
BUG_DH;-;1
BUG_DSI;-;1
BUG_EE;-;1
BUG_FDN;-;1
BUG_FIT;-;1
BUG_FRO;-;1
BUG_ID;-;1
BUG_IE;-;1
BUG_IL;-;1
BUG_IR;-;1
BUG_LFN;-;1
BUG_MFR;-;1
BUG_MOISIA;-;1
BUG_MP;-;1
BUG_MPAIA;-;1
BUG_MRSE;-;1
BUG_MSM;-;1
BUG_MWC;-;1
BUG_NC;-;1
BUG_NE;-;1
BUG_NNTR;-;1
BUG_PR;-;1
BUG_PVC;-;1
BUG_RBC;-;1
BUG_RI;-;1
BUG_SA;-;1
BUG_SC;-;1
BUG_SC2;-;1
BUG_SCM;-;1
BUG_SE;-;1
BUG_SEU;-;1
BUG_SH;-;1
BUG_SI;-;1
BUG_SIA;-;1
BUG_SLWEN;-;1
BUG_SMC;-;1
BUG_SMU;-;1
BUG_SS;-;1
BUG_SSC;-;1
BUG_SWUF;-;1
BUG_TC;-;1
BUG_TKM;-;1
BUG_TSLV;-;1
BUG_UAM;-;1
BUG_UC;-;1
BUG_UMM;-;1
BUG_UR;-;1
BUG_URV;-;1
BUG_USA;-;1
BUG_VNM;-;1
CAF;1;-
CAI;1;-
CATIAR;1;-
CBEWI;1;-
CBO;1;-
CCAEO;1;-
CCALC;1;-
CCITCAB;1;-
CCM;1;-
CCOND;1;-
CCPC;1;-
CE;1;-
CEBV;1;-
CFIATOF;1;-
CITAAR;1;-
CLWCPC;1;-
COBWBE;1;-
COBWIC;1;-
COFRBE;1;-
CON_MU;-;1
COOB;1;-
COTFRBE;1;-
CP;1;-
CPP_ACA;-;1
CPP_AG;-;1
CPP_AMN;-;1
CPP_ANCGV;-;1
CPP_CCAS;-;1
CPP_EVF;-;1
CPP_IGI;-;1
CPP_IV;-;1
CPP_MU;-;1
CPP_NC;-;1
CPP_NM;-;1
CPP_NPMVIC;-;1
CPP_OM;-;1
CPP_PBATPD;-;1
CPP_PBCAI;-;1
CPP_PBPA;-;1
CPP_PMI;-;1
CPP_PTCC;-;1
CPP_PTCC2;-;1
CPP_PTMI;-;1
CPP_PTRC;-;1
CPP_PTSCD;-;1
CPP_PTUA;-;1
CPP_PTV;-;1
CPP_S;-;1
CPP_SMF;-;1
CRT_CON36_C;-;1
CRT_CON54_CPP;-;1
CRT_DCL03_C;-;1
CRT_DCL16_C;-;1
CRT_DCL21_CPP;-;1
CRT_DCL37_C;-;1
CRT_DCL50_CPP;-;1
CRT_DCL51_CPP;-;1
CRT_DCL54_CPP;-;1
CRT_DCL58_CPP;-;1
CRT_DCL59_CPP;-;1
CRT_ENV33_C;-;1
CRT_ERR09_CPP;-;1
CRT_ERR34_C;-;1
CRT_ERR52_CPP;-;1
CRT_ERR58_CPP;-;1
CRT_ERR60_CPP;-;1
CRT_ERR61_CPP;-;1
CRT_FIO38_C;-;1
CRT_FLP30_C;-;1
CRT_MEM57_CPP;-;1
CRT_MSC30_C;-;1
CRT_MSC32_C;-;1
CRT_MSC50_CPP;-;1
CRT_MSC51_CPP;-;1
CRT_OOP11_CPP;-;1
CRT_OOP54_CPP;-;1
CRT_OOP57_CPP;-;1
CRT_OOP58_CPP;-;1
CRT_POS44_C;-;1
CRT_SIG30_C;-;1
CRT_STR34_C;-;1
CS;1;-
CSC;1;-
CSR;1;-
CSTAT;1;-
CV;1;-
DAE;1;-
DAR;1;-
DBRANCH;1;-
DBREAK;1;-
DCOND;1;-
DCONDA;1;-
DD;1;-
DET;1;-
DEXPR;1;-
DF;1;-
DII;1;-
DIM;1;-
DL;1;-
DR;1;-
DRW_AS;-;1
DRW_DON;-;1
DSO;1;-
DTL;1;-
DTR;1;-
DU;1;-
DUOS;1;-
DVT;1;-
ED;1;-
EDT;1;-
ERC;1;-
ETID;1;-
FAND;1;-
FAOD;1;-
FC;1;-
FCO;1;-
FCS_DAC;-;1
FCS_DAD;-;1
FCS_HAN;-;1
FCS_MI;-;1
FCS_OO;-;1
FCS_SCO;-;1
FCS_TR;-;1
FCS_VI;-;1
FOIS;1;-
FS;1;-
GGL_BEMP;-;1
GGL_BN;-;1
GGL_BUN;-;1
GGL_DA;-;1
GGL_EC;-;1
GGL_GNIH;-;1
GGL_OANN;-;1
GGL_OATE;-;1
GGL_OFN;-;1
GGL_OGVD;-;1
GGL_RAUIGN;-;1
GGL_RBAS;-;1
GGL_RC;-;1
GGL_RFS;-;1
GGL_RI;-;1
GGL_RNC;-;1
GGL_RO;-;1
GGL_RT;-;1
GGL_UGC;-;1
GLG;1;-
HIC_ACA;-;1
HIC_AG;-;1
HIC_BAS;-;1
HIC_DH;-;1
HIC_EB;-;1
HIC_EC;-;1
HIC_FS;-;1
HIC_IAM;-;1
HIC_MCA;-;1
HIC_MI;-;1
HIC_MPC;-;1
HIC_NA;-;1
HIC_NAD;-;1
HIC_NDO;-;1
HIC_NM;-;1
HIC_NM2;-;1
HIC_NP;-;1
HIC_SA;-;1
HIC_SB;-;1
HIC_SMF;-;1
HIC_UA;-;1
HIC_UC;-;1
HIC_UE;-;1
HIC_UED;-;1
HIC_UED2;-;1
HIC_ULS;-;1
HIC_UN;-;1
HIC_UN2;-;1
HIC_UO;-;1
HIC_V;-;1
IAF;1;-
IB;1;-
IC;1;-
ICAEE;1;-
ICBE;1;-
ICL;1;-
IF;1;-
IFA;1;-
IFAB;1;-
IFAS;1;-
IIC;1;-
IIT;1;-
IL;1;-
ILME;1;-
ILO;1;-
ILT;1;-
IO;1;-
IOWP;1;-
IPATF;1;-
IPATN;1;-
IPATP;1;-
IPATS;1;-
IPATSI;1;-
IPATUI;1;-
IPC;1;-
IRV;1;-
IS;1;-
ISATF;1;-
ISATI;1;-
ISATS;1;-
ISBE;1;-
ISC;1;-
ISFW;1;-
ISFWS;1;-
ITFO;1;-
KA;1;-
KAHVE;1;-
KEC;1;-
KRN_MCE;-;1
LLC_CN;-;1
LLC_IIN;-;1
LLC_RSLH;-;1
LLV_EAR;-;1
LLV_HG;-;1
LLV_IO;-;1
LLV_NC;-;1
LLV_PIODCIC;-;1
LLV_PROU;-;1
LLV_QA;-;1
LLV_TL;-;1
LM;1;-
LNVFC;1;-
LRVNU;1;-
MAD;1;-
MATF;1;-
MBA;1;-
MC;1;-
MCE;1;-
MCF;1;-
MCI;1;-
MCOND;1;-
MCR;1;-
MDR_AB;-;1
MDR_ACA;-;1
MDR_CNN;-;1
MDR_DH;-;1
MDR_DIBA;-;1
MDR_LC;-;1
MDR_MS;-;1
MDR_MU;-;1
MDR_PBV;-;1
MDR_RAP;-;1
MDR_RBIL;-;1
MDR_RDCAAM;-;1
MDR_RRS;-;1
MDR_RSL;-;1
MDR_RVA;-;1
MDR_STF;-;1
MDR_UA;-;1
MDR_UBL;-;1
MDR_UDMI;-;1
MDR_UE;-;1
MDR_UED;-;1
MDR_UED2;-;1
MDR_UN;-;1
MDR_UN2;-;1
MDR_UN3;-;1
MDR_UO;-;1
MDR_USA;-;1
MDR_UTF;-;1
MDR_UTRT;-;1
MDR_UU;-;1
MDR_UUE;-;1
MF;1;-
ML;1;-
MMC;1;-
MO;1;-
MOCE;1;-
MOCW;1;-
MOO;1;-
MOR;1;-
MPI_BD;-;1
MPI_TM;-;1
MRFAO;1;-
MS;1;-
MSC_DIH;-;1
MSC_MC;-;1
MSC_NCO;-;1
MSC_NDO;-;1
MSC_NPMVIC;-;1
MSC_NR;-;1
MSC_RE;-;1
MSC_SA2;-;1
MSC_TBVCBR;-;1
MSC_UAD;-;1
MSC_UAO;-;1
MSC_UP;-;1
MSC_URR;-;1
MSC_UUD;-;1
MSO;1;-
MVOOR;1;-
MZB;1;-
NAO;1;-
NC;1;-
NCC;1;-
NCETR;1;-
NCI;1;-
ND;1;-
NEC;1;-
NI;1;-
NIAE;1;-
NP;1;-
NPDWDA;1;-
OBC_ANI;-;1
OBC_DIC;-;1
OBC_FS;-;1
OBC_MH;-;1
OBC_NAL;-;1
OBC_PD;-;1
OBC_SS;-;1
OERRT;1;-
OETS;1;-
OEVE;1;-
OI;1;-
OIC;1;-
OMP_EE;-;1
OMP_UDN;-;1
OPE;1;-
OS;1;-
PAB;1;-
PAE;1;-
PANC;1;-
PAORCWN;1;-
PAWN;1;-
PBV;1;-
PED;1;-
PLTZ;1;-
PO;1;-
POOB;1;-
PP;1;-
PRF_FRC;-;1
PRF_FSF;-;1
PRF_IA;-;1
PRF_ICIL;-;1
PRF_ISC;-;1
PRF_IVO;-;1
PRF_MCA;-;1
PRF_MCI;-;1
PRF_NAM;-;1
PRF_NITP;-;1
PRF_NMC;-;1
PRF_TD;-;1
PRF_TPIMF;-;1
PRF_UCI;-;1
PRF_UVP;-;1
PRT_RSI;-;1
PRT_SI;-;1
PS;1;-
PVC;1;-
RA;1;-
RAID;1;-
RAIS;1;-
RAOAV;1;-
RAOFP;1;-
RBOIS;1;-
RCIS;1;-
RCLC;1;-
RCOND;1;-
RCPY;1;-
RDB_ACPID;-;1
RDB_BAS;-;1
RDB_CMFTS;-;1
RDB_CRT;-;1
RDB_CSE;-;1
RDB_DD;-;1
RDB_DNP;-;1
RDB_EAR;-;1
RDB_FCC;-;1
RDB_FS;-;1
RDB_IBC;-;1
RDB_ID;-;1
RDB_IDPN;-;1
RDB_IN;-;1
RDB_MAI;-;1
RDB_MI;-;1
RDB_MMFC;-;1
RDB_MN;-;1
RDB_NCP;-;1
RDB_NP;-;1
RDB_QA;-;1
RDB_RAS;-;1
RDB_RCF;-;1
RDB_RD;-;1
RDB_RFPD;-;1
RDB_RMI;-;1
RDB_RP;-;1
RDB_RSC;-;1
RDB_RSG;-;1
RDB_RSI;-;1
RDB_SATI;-;1
RDB_SBE;-;1
RDB_SC;-;1
RDB_SDIAN;-;1
RDB_SSE;-;1
RDB_UA;-;1
RDB_UDR;-;1
RDB_ULS;-;1
RDL;1;-
REC;1;-
RF;1;-
RI;1;-
RIR;1;-
RL;1;-
RLV;1;-
RNBIBF;1;-
RNPC;1;-
RPO;1;-
RTF;1;-
RWOF;1;-
SA;1;-
SAR;1;-
SA_BLT_BF;-;1
SA_BLT_NRF;-;1
SA_COR_CAM;-;1
SA_COR_DTP;-;1
SA_COR_DZ;-;1
SA_COR_ND;-;1
SA_COR_NNPC;-;1
SA_COR_NNSC;-;1
SA_COR_SAE;-;1
SA_COR_SAEB;-;1
SA_COR_UBOR;-;1
SA_COR_VS;-;1
SA_CPP_IP;-;1
SA_CPP_M;-;1
SA_CPP_ND;-;1
SA_CPP_NDL;-;1
SA_CPP_PNC;-;1
SA_CPP_PVC;-;1
SA_CPP_SA;-;1
SA_DCD_DS;-;1
SA_FCS_HC;-;1
SA_NUL_NB;-;1
SA_NUL_ND;-;1
SA_NUL_NPTN;-;1
SA_NUL_NPTN2;-;1
SA_NUL_NRFN;-;1
SA_NUL_NRFN2;-;1
SA_OI_CPP_UO;-;1
SA_OI_CPP_VC;-;1
SA_OI_MPI_M;-;1
SA_OI_OSX_LOC_ELCC;-;1
SA_OI_OSX_LOC_NLSC;-;1
SA_OI_OSX_OCC;-;1
SA_OI_PRF_GA;-;1
SA_OI_PRF_P;-;1
SA_OI_PRT_UA;-;1
SA_OSX_A;-;1
SA_OSX_CCA_AS;-;1
SA_OSX_CCA_AW;-;1
SA_OSX_CCA_CR;-;1
SA_OSX_CCA_D;-;1
SA_OSX_CCA_IMT;-;1
SA_OSX_CCA_L;-;1
SA_OSX_CCA_MSC;-;1
SA_OSX_CCA_NA;-;1
SA_OSX_CCA_NAP;-;1
SA_OSX_CCA_NE;-;1
SA_OSX_CCA_NNRV;-;1
SA_OSX_CCA_OCG;-;1
SA_OSX_CCA_RC;-;1
SA_OSX_CCA_RCB;-;1
SA_OSX_CCA_RLAL;-;1
SA_OSX_CCA_SD;-;1
SA_OSX_CCA_SI;-;1
SA_OSX_CCA_UI;-;1
SA_OSX_CCA_VMT;-;1
SA_OSX_CRF_CE;-;1
SA_OSX_CRF_CN;-;1
SA_OSX_CRF_CRR;-;1
SA_OSX_CRF_OOB;-;1
SA_OSX_CRF_PSV;-;1
SA_OSX_MIGCC;-;1
SA_OSX_NOC;-;1
SA_OSX_NOCEDC;-;1
SA_OSX_OCP;-;1
SA_OSX_ORC;-;1
SA_OSX_SKA;-;1
SA_SEC_B;-;1
SA_SEC_B2;-;1
SA_SEC_B3;-;1
SA_SEC_DOUBH;-;1
SA_SEC_DVOOT;-;1
SA_SEC_FLC;-;1
SA_SEC_G;-;1
SA_SEC_G2;-;1
SA_SEC_M;-;1
SA_SEC_M2;-;1
SA_SEC_R;-;1
SA_SEC_S;-;1
SA_SEC_SSC;-;1
SA_SEC_UR;-;1
SA_SEC_V;-;1
SA_UIN_A;-;1
SA_UIN_AS;-;1
SA_UIN_B;-;1
SA_UIN_CBV;-;1
SA_UIN_UR;-;1
SA_UNX_A;-;1
SA_UNX_BSA;-;1
SA_UNX_M;-;1
SA_UNX_MD;-;1
SA_UNX_MS;-;1
SA_UNX_NA;-;1
SA_UNX_V;-;1
SA_VAL_CTS;-;1
SA_VAL_U;-;1
SA_VAL_U2;-;1
SA_VAL_VB;-;1
SA_WBK_NUMC;-;1
SA_WBK_RCBVD;-;1
SA_WBK_ULCC;-;1
SBN;1;-
SC;1;-
SCAI;1;-
SCP;1;-
SCR;1;-
SCT;1;-
SF;1;-
SI;1;-
SIE;1;-
SIWDC1;1;-
SIWDC2;1;-
SIWDC3;1;-
SLW;1;-
SN;1;-
SOAF;1;-
SOC;1;-
SOD;1;-
SODMF;1;-
SODVP;1;-
SOFC;1;-
SOSO;1;-
SOV;1;-
SOWNP;1;-
SOWSAP;1;-
SPC;1;-
SS;1;-
SSC;1;-
STLB;1;-
STLC;1;-
STLFBI;1;-
STLIF;1;-
STLISF;1;-
STLMC;1;-
STLOOB;1;-
STLS;1;-
STMB;1;-
STMBS;1;-
STRCMP;1;-
SUSPC;1;-
SV;1;-
TINF;1;-
TLCA;1;-
TLCR;1;-
TS;1;-
TUAF;1;-
UA;1;-
UAA;1;-
UAPARG;1;-
UAV;1;-
UCC;1;-
UCCL;1;-
UCE;1;-
UCF;1;-
UCR;1;-
UCRM;1;-
UCS;1;-
UCSS;1;-
UDMV;1;-
UDPMV;1;-
UEO;1;-
UES;1;-
UID;1;-
UIL;1;-
UISM;1;-
UIV;1;-
UL;1;-
ULITC;1;-
ULTZ;1;-
UMV;1;-
UP;1;-
UPF;1;-
UPMC;1;-
UPMV;1;-
URC;1;-
URV;1;-
USA;1;-
USL;1;-
USLITC;1;-
UUAM;1;-
UUF;1;-
UUSM;1;-
UUSO;1;-
UUV;1;-
VAEM;1;-
VALUBS;1;-
VASRP;1;-
VASSC;1;-
VASWP;1;-
VCIC;1;-
VCWSL;1;-
VD;1;-
VFNUB;1;-
VS;1;-
WMC;1;-
WPPS;1;-
WPSAN;1;-
WPSPPE;1;-
WROF;1;-
ZD;1;-
ZDC;1;-
ZRC_TO;-;1
